   Frequency_GHz   Transmission    Conductivity_S/m      n               k
   1.1962000e+02   6.6513196e-01   2.3419005e-01   1.6124608e+00   5.4587392e-03
   1.1971000e+02   6.7455264e-01   2.3456283e-01   1.6124608e+00   5.4633179e-03
   1.1980000e+02   6.4341880e-01   2.3493591e-01   1.6124608e+00   5.4678966e-03
   1.1989000e+02   6.3678267e-01   2.3530929e-01   1.6124608e+00   5.4724753e-03
   1.1998000e+02   6.3479085e-01   2.3568297e-01   1.6124609e+00   5.4770540e-03
   1.2007000e+02   6.2814931e-01   2.3605693e-01   1.6124609e+00   5.4816328e-03
   1.2016000e+02   6.5102290e-01   2.3643120e-01   1.6124609e+00   5.4862116e-03
   1.2025000e+02   6.5026182e-01   2.3680576e-01   1.6124609e+00   5.4907904e-03
   1.2034000e+02   6.2434297e-01   2.3718062e-01   1.6124609e+00   5.4953692e-03
   1.2043000e+02   6.3300120e-01   2.3755578e-01   1.6124609e+00   5.4999480e-03
   1.2052000e+02   6.2376868e-01   2.3793123e-01   1.6124609e+00   5.5045268e-03
   1.2061000e+02   6.0991039e-01   2.3830698e-01   1.6124610e+00   5.5091057e-03
   1.2070000e+02   6.3809330e-01   2.3868303e-01   1.6124610e+00   5.5136846e-03
   1.2079000e+02   6.4353573e-01   2.3905937e-01   1.6124610e+00   5.5182635e-03
   1.2088000e+02   6.2810232e-01   2.3943600e-01   1.6124610e+00   5.5228425e-03
   1.2097000e+02   6.3523891e-01   2.3981294e-01   1.6124610e+00   5.5274214e-03
   1.2106000e+02   6.2769587e-01   2.4019017e-01   1.6124610e+00   5.5320004e-03
   1.2115000e+02   6.1169175e-01   2.4056770e-01   1.6124611e+00   5.5365794e-03
   1.2124000e+02   6.3078146e-01   2.4094552e-01   1.6124611e+00   5.5411584e-03
   1.2133000e+02   6.3148469e-01   2.4132364e-01   1.6124611e+00   5.5457374e-03
   1.2142000e+02   6.2927327e-01   2.4170206e-01   1.6124611e+00   5.5503164e-03
   1.2151000e+02   6.3704385e-01   2.4208077e-01   1.6124611e+00   5.5548955e-03
   1.2160000e+02   6.2691704e-01   2.4245978e-01   1.6124611e+00   5.5594746e-03
   1.2169000e+02   6.1294347e-01   2.4283909e-01   1.6124611e+00   5.5640537e-03
   1.2178000e+02   6.3022122e-01   2.4321869e-01   1.6124612e+00   5.5686328e-03
   1.2187000e+02   6.2883517e-01   2.4359859e-01   1.6124612e+00   5.5732120e-03
   1.2196000e+02   6.2580971e-01   2.4397879e-01   1.6124612e+00   5.5777911e-03
   1.2205000e+02   6.4479831e-01   2.4435928e-01   1.6124612e+00   5.5823703e-03
   1.2214000e+02   6.3980027e-01   2.4474007e-01   1.6124612e+00   5.5869495e-03
   1.2223000e+02   6.2682727e-01   2.4512115e-01   1.6124612e+00   5.5915287e-03
   1.2232000e+02   6.3817875e-01   2.4550253e-01   1.6124613e+00   5.5961080e-03
   1.2241000e+02   6.3974648e-01   2.4588421e-01   1.6124613e+00   5.6006872e-03
   1.2250000e+02   6.2985474e-01   2.4626619e-01   1.6124613e+00   5.6052665e-03
   1.2259000e+02   6.3921824e-01   2.4664846e-01   1.6124613e+00   5.6098458e-03
   1.2268000e+02   6.4290561e-01   2.4703102e-01   1.6124613e+00   5.6144251e-03
   1.2277000e+02   6.3085079e-01   2.4741389e-01   1.6124613e+00   5.6190044e-03
   1.2286000e+02   6.3670923e-01   2.4779705e-01   1.6124614e+00   5.6235838e-03
   1.2295000e+02   6.3858283e-01   2.4818050e-01   1.6124614e+00   5.6281632e-03
   1.2304000e+02   6.3042860e-01   2.4856426e-01   1.6124614e+00   5.6327426e-03
   1.2313000e+02   6.3774011e-01   2.4894831e-01   1.6124614e+00   5.6373220e-03
   1.2322000e+02   6.3922182e-01   2.4933265e-01   1.6124614e+00   5.6419014e-03
   1.2331000e+02   6.3216789e-01   2.4971730e-01   1.6124614e+00   5.6464808e-03
   1.2340000e+02   6.3868906e-01   2.5010223e-01   1.6124615e+00   5.6510603e-03
   1.2349000e+02   6.3899587e-01   2.5048747e-01   1.6124615e+00   5.6556398e-03
