   Frequency_GHz   Transmission    Conductivity_S/m      n               k
   1.1620000e+02   6.4113583e-01   3.7136997e-01   1.5968973e+00   8.9978871e-03
   1.1629000e+02   6.3496313e-01   3.7177229e-01   1.5968973e+00   9.0006636e-03
   1.1638000e+02   6.3173737e-01   3.7217483e-01   1.5968973e+00   9.0034410e-03
   1.1647000e+02   6.4264119e-01   3.7257759e-01   1.5968973e+00   9.0062195e-03
   1.1656000e+02   6.4726795e-01   3.7298057e-01   1.5968974e+00   9.0089989e-03
   1.1665000e+02   6.5040813e-01   3.7338376e-01   1.5968974e+00   9.0117793e-03
   1.1674000e+02   6.6058545e-01   3.7378717e-01   1.5968974e+00   9.0145606e-03
   1.1683000e+02   6.6158127e-01   3.7419080e-01   1.5968974e+00   9.0173429e-03
   1.1692000e+02   6.5337974e-01   3.7459465e-01   1.5968974e+00   9.0201262e-03
   1.1701000e+02   6.5317222e-01   3.7499871e-01   1.5968974e+00   9.0229104e-03
   1.1710000e+02   6.5594254e-01   3.7540300e-01   1.5968974e+00   9.0256956e-03
   1.1719000e+02   6.5766597e-01   3.7580750e-01   1.5968975e+00   9.0284818e-03
   1.1728000e+02   6.7581137e-01   3.7621222e-01   1.5968975e+00   9.0312689e-03
   1.1737000e+02   6.6727559e-01   3.7661715e-01   1.5968975e+00   9.0340569e-03
   1.1746000e+02   6.5772586e-01   3.7702231e-01   1.5968975e+00   9.0368459e-03
   1.1755000e+02   6.5146599e-01   3.7742768e-01   1.5968975e+00   9.0396358e-03
   1.1764000e+02   6.4806892e-01   3.7783327e-01   1.5968975e+00   9.0424267e-03
   1.1773000e+02   6.5048686e-01   3.7823908e-01   1.5968976e+00   9.0452185e-03
   1.1782000e+02   6.8334326e-01   3.7864510e-01   1.5968976e+00   9.0480113e-03
   1.1791000e+02   6.8673527e-01   3.7905135e-01   1.5968976e+00   9.0508050e-03
   1.1800000e+02   6.8796554e-01   3.7945781e-01   1.5968976e+00   9.0535996e-03
   1.1809000e+02   6.8733087e-01   3.7986449e-01   1.5968976e+00   9.0563952e-03
   1.1818000e+02   6.9030043e-01   3.8027138e-01   1.5968976e+00   9.0591917e-03
   1.1827000e+02   6.8942612e-01   3.8067850e-01   1.5968977e+00   9.0619891e-03
   1.1836000e+02   6.9629235e-01   3.8108583e-01   1.5968977e+00   9.0647875e-03
   1.1845000e+02   7.0505824e-01   3.8149338e-01   1.5968977e+00   9.0675867e-03
   1.1854000e+02   7.0443262e-01   3.8190115e-01   1.5968977e+00   9.0703869e-03
   1.1863000e+02   6.8897499e-01   3.8230913e-01   1.5968977e+00   9.0731881e-03
   1.1872000e+02   6.7759411e-01   3.8271734e-01   1.5968977e+00   9.0759901e-03
   1.1881000e+02   6.7861526e-01   3.8312576e-01   1.5968978e+00   9.0787930e-03
   1.1890000e+02   6.7022913e-01   3.8353440e-01   1.5968978e+00   9.0815969e-03
   1.1899000e+02   6.6941851e-01   3.8394325e-01   1.5968978e+00   9.0844017e-03
   1.1908000e+02   6.6780733e-01   3.8435233e-01   1.5968978e+00   9.0872074e-03
   1.1917000e+02   6.7163509e-01   3.8476162e-01   1.5968978e+00   9.0900140e-03
   1.1926000e+02   6.3975029e-01   3.8517113e-01   1.5968978e+00   9.0928215e-03
   1.1935000e+02   6.3436845e-01   3.8558086e-01   1.5968978e+00   9.0956299e-03
   1.1944000e+02   6.3543734e-01   3.8599081e-01   1.5968979e+00   9.0984392e-03
   1.1953000e+02   6.3983822e-01   3.8640097e-01   1.5968979e+00   9.1012494e-03
   1.1962000e+02   6.3794929e-01   3.8681135e-01   1.5968979e+00   9.1040605e-03
   1.1971000e+02   6.4630633e-01   3.8722195e-01   1.5968979e+00   9.1068725e-03
   1.1980000e+02   6.4721415e-01   3.8763277e-01   1.5968979e+00   9.1096854e-03
   1.1989000e+02   6.4594634e-01   3.8804380e-01   1.5968979e+00   9.1124992e-03
   1.1998000e+02   6.4831856e-01   3.8845506e-01   1.5968980e+00   9.1153138e-03
   1.2007000e+02   6.6096454e-01   3.8886653e-01   1.5968980e+00   9.1181294e-03
   1.2016000e+02   6.6198150e-01   3.8927822e-01   1.5968980e+00   9.1209458e-03
   1.2025000e+02   6.6397806e-01   3.8969012e-01   1.5968980e+00   9.1237632e-03
   1.2034000e+02   6.6016972e-01   3.9010225e-01   1.5968980e+00   9.1265814e-03
   1.2043000e+02   6.5802481e-01   3.9051459e-01   1.5968980e+00   9.1294005e-03
   1.2052000e+02   6.4932361e-01   3.9092715e-01   1.5968981e+00   9.1322204e-03
   1.2061000e+02   6.4671944e-01   3.9133993e-01   1.5968981e+00   9.1350413e-03
   1.2070000e+02   6.4502142e-01   3.9175292e-01   1.5968981e+00   9.1378630e-03
   1.2079000e+02   6.4370806e-01   3.9216613e-01   1.5968981e+00   9.1406856e-03
   1.2088000e+02   6.4285021e-01   3.9257957e-01   1.5968981e+00   9.1435090e-03
   1.2097000e+02   6.3533340e-01   3.9299321e-01   1.5968981e+00   9.1463334e-03
   1.2106000e+02   6.3305567e-01   3.9340708e-01   1.5968982e+00   9.1491586e-03
   1.2115000e+02   6.3449230e-01   3.9382117e-01   1.5968982e+00   9.1519846e-03
   1.2124000e+02   6.3445339e-01   3.9423547e-01   1.5968982e+00   9.1548115e-03
   1.2133000e+02   6.4164534e-01   3.9464999e-01   1.5968982e+00   9.1576393e-03
   1.2142000e+02   6.6153896e-01   3.9506473e-01   1.5968982e+00   9.1604679e-03
   1.2151000e+02   6.5888605e-01   3.9547968e-01   1.5968982e+00   9.1632974e-03
   1.2160000e+02   6.6069894e-01   3.9589485e-01   1.5968982e+00   9.1661278e-03
   1.2169000e+02   6.6825475e-01   3.9631025e-01   1.5968983e+00   9.1689590e-03
   1.2178000e+02   6.7208106e-01   3.9672586e-01   1.5968983e+00   9.1717910e-03
   1.2187000e+02   6.7425005e-01   3.9714168e-01   1.5968983e+00   9.1746239e-03
   1.2196000e+02   6.8121618e-01   3.9755773e-01   1.5968983e+00   9.1774577e-03
   1.2205000e+02   6.8889595e-01   3.9797399e-01   1.5968983e+00   9.1802923e-03
   1.2214000e+02   6.8770279e-01   3.9839047e-01   1.5968983e+00   9.1831277e-03
   1.2223000e+02   6.8676605e-01   3.9880717e-01   1.5968984e+00   9.1859640e-03
   1.2232000e+02   6.8288148e-01   3.9922408e-01   1.5968984e+00   9.1888011e-03
   1.2241000e+02   6.8313866e-01   3.9964122e-01   1.5968984e+00   9.1916390e-03
   1.2250000e+02   6.7714966e-01   4.0005857e-01   1.5968984e+00   9.1944778e-03
   1.2259000e+02   6.7710853e-01   4.0047614e-01   1.5968984e+00   9.1973174e-03
   1.2268000e+02   6.7588291e-01   4.0089393e-01   1.5968984e+00   9.2001579e-03
   1.2277000e+02   6.7574910e-01   4.0131193e-01   1.5968985e+00   9.2029992e-03
   1.2286000e+02   6.6893168e-01   4.0173015e-01   1.5968985e+00   9.2058413e-03
   1.2295000e+02   6.6981982e-01   4.0214859e-01   1.5968985e+00   9.2086842e-03
   1.2304000e+02   6.7084356e-01   4.0256725e-01   1.5968985e+00   9.2115280e-03
   1.2313000e+02   6.7023979e-01   4.0298613e-01   1.5968985e+00   9.2143726e-03
   1.2322000e+02   6.6972758e-01   4.0340522e-01   1.5968985e+00   9.2172180e-03
   1.2331000e+02   6.7533213e-01   4.0382453e-01   1.5968986e+00   9.2200642e-03
   1.2340000e+02   6.7309716e-01   4.0424406e-01   1.5968986e+00   9.2229112e-03
   1.2349000e+02   6.7156955e-01   4.0466381e-01   1.5968986e+00   9.2257591e-03
   1.2358000e+02   6.7306345e-01   4.0508378e-01   1.5968986e+00   9.2286077e-03
   1.2367000e+02   6.7297390e-01   4.0550396e-01   1.5968986e+00   9.2314572e-03
   1.2376000e+02   6.7511497e-01   4.0592436e-01   1.5968986e+00   9.2343075e-03
   1.2385000e+02   6.7800612e-01   4.0634498e-01   1.5968987e+00   9.2371586e-03
   1.2394000e+02   6.7758808e-01   4.0676582e-01   1.5968987e+00   9.2400105e-03
   1.2403000e+02   6.7371864e-01   4.0718687e-01   1.5968987e+00   9.2428632e-03
   1.2412000e+02   6.7413508e-01   4.0760814e-01   1.5968987e+00   9.2457168e-03
   1.2421000e+02   6.6979706e-01   4.0802963e-01   1.5968987e+00   9.2485711e-03
   1.2430000e+02   6.6845187e-01   4.0845134e-01   1.5968987e+00   9.2514262e-03
   1.2439000e+02   6.6964648e-01   4.0887327e-01   1.5968988e+00   9.2542821e-03
   1.2448000e+02   6.7151588e-01   4.0929541e-01   1.5968988e+00   9.2571388e-03
   1.2457000e+02   6.6588630e-01   4.0971777e-01   1.5968988e+00   9.2599963e-03
   1.2466000e+02   6.6793411e-01   4.1014035e-01   1.5968988e+00   9.2628546e-03
   1.2475000e+02   6.6738744e-01   4.1056315e-01   1.5968988e+00   9.2657137e-03
   1.2484000e+02   6.6515089e-01   4.1098616e-01   1.5968988e+00   9.2685736e-03
   1.2493000e+02   6.6598374e-01   4.1140939e-01   1.5968989e+00   9.2714343e-03
   1.2502000e+02   6.7808580e-01   4.1183284e-01   1.5968989e+00   9.2742957e-03
   1.2511000e+02   6.7965373e-01   4.1225651e-01   1.5968989e+00   9.2771580e-03
   1.2520000e+02   6.8248538e-01   4.1268040e-01   1.5968989e+00   9.2800210e-03
   1.2529000e+02   6.9001463e-01   4.1310450e-01   1.5968989e+00   9.2828848e-03
   1.2538000e+02   6.9041378e-01   4.1352882e-01   1.5968989e+00   9.2857494e-03
   1.2547000e+02   6.9182650e-01   4.1395336e-01   1.5968990e+00   9.2886147e-03
   1.2556000e+02   6.9596931e-01   4.1437812e-01   1.5968990e+00   9.2914809e-03
   1.2565000e+02   7.0597336e-01   4.1480309e-01   1.5968990e+00   9.2943478e-03
   1.2574000e+02   7.0997968e-01   4.1522829e-01   1.5968990e+00   9.2972154e-03
   1.2583000e+02   7.1414078e-01   4.1565370e-01   1.5968990e+00   9.3000839e-03
   1.2592000e+02   7.1195550e-01   4.1607933e-01   1.5968990e+00   9.3029531e-03
   1.2601000e+02   7.1400765e-01   4.1650517e-01   1.5968991e+00   9.3058231e-03
   1.2610000e+02   7.0988232e-01   4.1693124e-01   1.5968991e+00   9.3086939e-03
   1.2619000e+02   7.1197057e-01   4.1735752e-01   1.5968991e+00   9.3115654e-03
   1.2628000e+02   7.1665406e-01   4.1778402e-01   1.5968991e+00   9.3144377e-03
   1.2637000e+02   7.1881772e-01   4.1821074e-01   1.5968991e+00   9.3173107e-03
   1.2646000e+02   7.1486066e-01   4.1863767e-01   1.5968991e+00   9.3201845e-03
   1.2655000e+02   7.1280014e-01   4.1906482e-01   1.5968992e+00   9.3230591e-03
   1.2664000e+02   7.1251756e-01   4.1949219e-01   1.5968992e+00   9.3259344e-03
   1.2673000e+02   7.1225194e-01   4.1991978e-01   1.5968992e+00   9.3288105e-03
   1.2682000e+02   7.1669359e-01   4.2034759e-01   1.5968992e+00   9.3316873e-03
   1.2691000e+02   7.2192897e-01   4.2077561e-01   1.5968992e+00   9.3345649e-03
